rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count
1,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,Mar,13.0,11353451.0,4782300.0,17.0,930.61,0.99,0.8163,mega_plus,930.61,1181.3,0.99,0.8163,55.3,2258000000.0,2.12,96.3,Music,81.8,98.8,78.0,False,False,False,False,False,0
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,,2006.0,Mar,5.0,0.0,0.0,17.0,0.0,,,mega_plus,0.0,0.1,,,,12.0,0.0,46.8,Gaming,,36.6,,False,True,False,True,False,2
3,MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,US,Entertainment,48.0,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,8000000.0,2012.0,Feb,20.0,38284537.0,2868500.0,11.0,170.9,4.752,4.8193,mega_plus,170.9,67.4,4.752,4.8193,94.5,1348000000.0,2.13,69.0,Entertainment,53.0,90.6,55.6,False,False,False,False,False,0
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,1000000.0,2006.0,Sep,1.0,169772257.0,4196900.0,17.0,1012.35,1.204,0.6173,mega_plus,1012.35,56.8,1.204,0.6173,50.9,1975000000.0,2.13,76.0,Education,62.7,93.1,77.8,False,False,False,False,False,0
5,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,1000000.0,2006.0,Sep,20.0,1269994.0,3877950.0,17.0,930.82,1.232,0.6289,mega_plus,930.82,6855.1,1.232,0.6289,51.9,1824000000.0,2.13,98.7,Entertainment,82.7,99.3,63.4,False,False,False,False,True,1
7,Ã½Ã½Ã½ Kids Diana Show,112000000,93247040539.0,People & Blogs,Ã½Ã½Ã½ Kids Diana Show,1111,United States,US,Entertainment,5.0,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,,2015.0,May,12.0,83930730.0,1541450.0,8.0,832.56,0.785,,mega_plus,832.56,138.9,0.785,,,731674000.0,2.11,55.1,Entertainment,,92.7,,False,False,False,False,False,0
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,,2010.0,Apr,29.0,6161587.0,83250.0,13.0,261.78,0.135,,mega_plus,261.78,362.8,0.135,,,39184000.0,2.12,72.6,Entertainment,,83.4,,False,False,False,False,False,0
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,100000.0,2016.0,Jan,14.0,183527505.0,104000.0,7.0,853.58,0.054,0.0943,mega_plus,853.58,70.4,0.054,0.0943,10.3,48947000.0,2.12,61.2,Lifestyle / People,44.9,79.2,64.3,False,False,False,False,False,0
10,Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8.0,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,600000.0,2018.0,Apr,23.0,134460226.0,1222550.0,5.0,780.39,0.752,0.6067,mega,780.39,114.8,0.752,0.6067,39.8,580574000.0,2.11,61.9,Entertainment,52.3,89.9,67.5,False,False,False,False,False,0
11,Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,1100000.0,2014.0,Mar,12.0,6768401.0,1700450.0,9.0,598.31,1.389,1.1375,mega,598.31,949.8,1.389,1.1375,66.0,803613000.0,2.12,83.7,Music,77.5,97.0,67.2,False,False,False,False,False,0
