rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count,objective,recommendation
1,ViralHog,14000000,18917687143.0,People & Blogs,ViralHog,41117,United States,US,Animals,136.0,159.0,3.0,1364000000.0,340900.0,5500000.0,4100000.0,65500000.0,1100000.0,2014.0,Aug,22.0,460094.0,2920450.0,9.0,1351.26,7.21,7.8571,mid,1351.26,4568.6,7.21,7.8571,97.7,1364000000.0,2.14,86.1,Pets & Animals,95.7,66.7,74.0,False,False,False,False,False,0,balanced,Engagement Specialist — prioritize for interaction goals
2,StarPlus,32000000,26800674545.0,Entertainment,StarPlus,44892,India,IN,Entertainment,60.0,38.0,40.0,1667000000.0,416800.0,6700000.0,5000000.0,80000000.0,1200000.0,2006.0,May,19.0,597003.0,3558400.0,17.0,837.52,6.22,3.75,macro,837.52,2640.7,6.22,3.75,94.2,1667000000.0,2.13,97.6,Entertainment,93.7,92.4,71.4,False,False,False,False,False,0,balanced,Star Creator — strong on both reach and engagement
3,HAR PAL GEO,44600000,41139050371.0,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,2008.0,Jan,2.0,408308.0,2817150.0,15.0,922.4,3.25,2.9148,macro,922.4,6717.0,3.25,2.9148,88.0,1337000000.0,2.11,98.6,Entertainment,93.6,96.7,71.5,False,False,False,False,True,1,balanced,Star Creator — strong on both reach and engagement
4,Vijay Television,20400000,29406206620.0,Entertainment,Vijay Television,51515,India,IN,Entertainment,43.0,70.0,100.0,907534000.0,226900.0,3600000.0,2700000.0,43600000.0,400000.0,2007.0,Feb,1.0,570828.0,1913450.0,16.0,1441.48,3.086,1.9608,macro_low,1441.48,3219.7,3.086,1.9608,84.6,907534000.0,2.11,97.8,Entertainment,93.5,84.2,72.7,False,False,False,False,True,1,balanced,Star Creator — strong on both reach and engagement
5,Sun TV,22600000,20847038152.0,People & Blogs,Sun TV,60964,India,IN,Entertainment,109.0,63.0,82.0,982238000.0,245600.0,3900000.0,2900000.0,47100000.0,600000.0,2016.0,Feb,26.0,341957.0,2072800.0,7.0,922.44,4.712,2.6549,macro_low,922.44,8709.1,4.712,2.6549,90.8,982238000.0,2.11,82.8,Entertainment,92.0,84.7,68.3,False,False,False,False,True,1,balanced,Awareness Driver — prioritize for reach campaigns
6,Zee Tamil,12500000,11552190002.0,Entertainment,Zee Tamil,102699,India,IN,Entertainment,342.0,123.0,171.0,349940000.0,87500.0,1400000.0,1000000.0,16800000.0,200000.0,2008.0,Aug,26.0,112486.0,743750.0,15.0,924.18,3.029,1.6,mid,924.18,6846.6,3.029,1.6,82.6,349940000.0,2.13,98.6,Entertainment,92.0,54.4,68.3,False,False,False,False,True,1,balanced,Solid Performer — versatile for mixed campaigns
7,HUM TV,28300000,23844936965.0,Entertainment,HUM TV,106983,Pakistan,PK,Entertainment,80.0,3.0,49.0,684860000.0,171200.0,2700000.0,2100000.0,32900000.0,700000.0,2011.0,May,25.0,222885.0,1435600.0,12.0,842.58,2.872,2.4735,macro_low,842.58,8915.2,2.872,2.4735,85.8,684860000.0,2.1,93.0,Entertainment,91.8,89.8,68.6,False,False,False,False,True,1,balanced,Awareness Driver — prioritize for reach campaigns
8,Mazhavil Manorama,15300000,16545966132.0,Entertainment,Mazhavil Manorama,87864,India,IN,Entertainment,175.0,100.0,142.0,361483000.0,90400.0,1400000.0,1100000.0,17400000.0,300000.0,2011.0,Oct,31.0,188313.0,745200.0,12.0,1081.44,2.185,1.9608,macro_low,1081.44,7322.0,2.185,1.9608,80.8,361483000.0,2.06,92.7,Entertainment,91.8,69.3,70.0,False,False,False,False,True,1,balanced,Solid Performer — versatile for mixed campaigns
9,Colors TV,64600000,61510906457.0,Shows,Colors TV,112915,India,IN,Entertainment,10.0,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,2008.0,Jun,13.0,544754.0,2548450.0,15.0,952.18,1.931,1.7028,mega,952.18,7527.7,1.931,1.7028,77.9,1188000000.0,2.15,98.8,Entertainment,91.5,98.0,70.2,False,False,False,False,True,1,balanced,Star Creator — strong on both reach and engagement
10,Zee TV,70500000,73139054467.0,Entertainment,Zee TV,129204,India,IN,Entertainment,9.0,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,2005.0,Dec,11.0,566074.0,3613400.0,18.0,1037.43,2.334,1.2766,mega,1037.43,7178.0,2.334,1.2766,76.1,1707000000.0,2.12,98.7,Entertainment,91.3,98.6,69.1,False,False,False,False,True,1,balanced,Awareness Driver — prioritize for reach campaigns
