rank,channel_name,subscribers,total_views,category,channel_title,uploads,country,country_code,channel_type,views_rank,country_rank,type_rank,views_last_30d,est_monthly_earnings_low,est_monthly_earnings_high,est_yearly_earnings_low,est_yearly_earnings_high,subs_gained_last_30d,created_year,created_month,created_date,avg_views_per_video,est_monthly_earnings_mid,channel_age_years,views_per_subscriber,views_30d_pct_of_total,sub_growth_rate_30d,follower_tier,engagement_proxy,posting_intensity,recent_views_momentum,subscriber_momentum,momentum_score,avg_views_per_30d,earnings_per_1k_views,consistency_score,marketing_category,creator_fit_score,awareness_score,engagement_suitability_score,flag_missing_30d_data,flag_low_upload_volume,flag_negative_growth,flag_earnings_missing,flag_very_high_uploads,risk_flag_count,objective,recommendation
1,Alan Chikin Chow,26400000,27006526665.0,Comedy,Alan Chikin Chow,865,United States,US,Comedy,61.0,63.0,12.0,1046000000.0,261500.0,4200000.0,3100000.0,50200000.0,1300000.0,2020.0,Feb,3.0,31221418.0,2230750.0,3.0,1022.97,3.873,4.9242,macro_low,1022.97,288.3,3.873,4.9242,92.4,1046000000.0,2.13,65.9,Comedy,78.1,83.4,82.2,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
2,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ KIMPRO,17700000,19206701832.0,,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½ KIMPRO,1646,South Korea,KR,People,125.0,9.0,26.0,3404000000.0,850900.0,13600000.0,10200000.0,163400000.0,3200000.0,2017.0,Nov,11.0,11668713.0,7225450.0,6.0,1085.12,17.723,18.0791,macro_low,1085.12,274.3,17.723,18.0791,99.2,3404000000.0,2.12,71.6,Lifestyle / People,84.0,73.5,82.2,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
3,Super Simple Songs - Kids Songs,39200000,44900897958.0,Education,Super Simple Songs - Kids Songs,744,Canada,CA,Education,19.0,2.0,8.0,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,400000.0,2006.0,Sep,8.0,60350669.0,1170100.0,17.0,1145.43,1.249,1.0204,macro,1145.43,43.8,1.249,1.0204,62.7,560756000.0,2.09,74.6,Education,65.5,88.1,81.3,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
4,LeoNata Family,22600000,27084848152.0,People & Blogs,LeoNata Family,2321,United States,US,People,57.0,87.0,11.0,1174000000.0,293500.0,4700000.0,3500000.0,56300000.0,1300000.0,2021.0,Sep,28.0,11669474.0,2496750.0,2.0,1198.44,4.335,5.7522,macro_low,1198.44,1160.5,4.335,5.7522,94.2,1174000000.0,2.13,70.3,Lifestyle / People,86.2,83.0,81.3,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
5,Tsuriki Show,23000000,31494513067.0,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34.0,1.0,15.0,756717000.0,189200.0,3000000.0,2300000.0,36300000.0,800000.0,2019.0,Jul,10.0,10841485.0,1594600.0,4.0,1369.33,2.403,3.4783,macro_low,1369.33,726.2,2.403,3.4783,85.8,756717000.0,2.11,73.0,Comedy,84.7,84.3,81.0,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
6,El Payaso Plim Plim,17700000,17247584185.0,Film & Animation,El Payaso Plim Plim,1316,Argentina,AR,Music,162.0,10.0,107.0,640030000.0,160000.0,2600000.0,1900000.0,30700000.0,600000.0,2013.0,Oct,18.0,13106067.0,1380000.0,10.0,974.44,3.711,3.3898,macro_low,974.44,131.6,3.711,3.3898,89.6,640030000.0,2.16,73.6,Music,78.0,70.9,80.6,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
7,El Reino Infantil,58400000,57271630846.0,Music,El Reino Infantil,1510,Argentina,AR,Music,13.0,1.0,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,600000.0,2011.0,Jun,2.0,37928232.0,1276500.0,12.0,980.68,1.068,1.0274,macro,980.68,125.8,1.068,1.0274,59.4,611828000.0,2.09,77.1,Music,70.3,92.3,80.4,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
8,dednahype,20200000,20919403720.0,Comedy,dednahype,1935,Latvia,LV,Comedy,108.0,1.0,19.0,1245000000.0,311200.0,5000000.0,3700000.0,59800000.0,1200000.0,2020.0,Mar,20.0,10811061.0,2655600.0,3.0,1035.61,5.951,5.9406,macro_low,1035.61,645.0,5.951,5.9406,96.4,1245000000.0,2.13,70.4,Comedy,85.3,78.4,80.3,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
9,Marta and Rustam,20200000,19694265358.0,Comedy,Marta and Rustam,761,United States,US,Comedy,126.0,106.0,20.0,452250000.0,113100.0,1800000.0,1400000.0,21700000.0,600000.0,2021.0,Jun,21.0,25879455.0,956550.0,2.0,974.96,2.296,2.9703,macro_low,974.96,380.5,2.296,2.9703,84.6,452250000.0,2.12,65.9,Comedy,76.2,73.8,80.1,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
10,That Little Puff,23700000,20289689389.0,Pets & Animals,That Little Puff,769,United States,US,Animals,118.0,81.0,1.0,755054000.0,188800.0,3000000.0,2300000.0,36200000.0,1100000.0,2020.0,Aug,29.0,26384512.0,1594400.0,3.0,856.11,3.721,4.6414,macro_low,856.11,256.3,3.721,4.6414,91.7,755054000.0,2.11,65.1,Pets & Animals,75.4,78.8,79.2,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
11,ISSEI / Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,15000000,13562853889.0,Comedy,ISSEI / Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,1788,Japan,JP,Comedy,277.0,5.0,29.0,282372000.0,70600.0,1100000.0,847100.0,13600000.0,900000.0,2014.0,Jul,23.0,7585489.0,585300.0,9.0,904.19,2.082,6.0,macro_low,904.19,198.7,2.082,6.0,86.9,282372000.0,2.07,74.8,Comedy,79.4,60.9,78.6,False,False,False,False,False,0,engagement,Engagement Specialist — prioritize for interaction goals
12,Yoeslan,20700000,17963202261.0,Entertainment,Yoeslan,619,United States,US,Entertainment,146.0,101.0,96.0,874796000.0,218700.0,3500000.0,2600000.0,42000000.0,1000000.0,2020.0,Sep,26.0,29019713.0,1859350.0,3.0,867.79,4.87,4.8309,macro_low,867.79,206.3,4.87,4.8309,94.8,874796000.0,2.13,63.3,Entertainment,74.0,74.0,78.5,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
13,Filaretiki,14800000,15788208522.0,,Filaretiki,2222,United States,US,People,195.0,152.0,46.0,1203000000.0,300800.0,4800000.0,3600000.0,57800000.0,1700000.0,2021.0,Mar,24.0,7105404.0,2550400.0,2.0,1066.77,7.62,11.4865,mid,1066.77,1111.0,7.62,11.4865,98.1,1203000000.0,2.12,70.1,Lifestyle / People,86.6,64.9,78.2,False,False,False,False,False,0,engagement,Engagement Specialist — prioritize for interaction goals
14,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2000000.0,2006.0,Mar,13.0,11353451.0,4782300.0,17.0,930.61,0.99,0.8163,mega_plus,930.61,1181.3,0.99,0.8163,55.3,2258000000.0,2.12,96.3,Music,81.8,98.8,78.0,False,False,False,False,False,0,engagement,Star Creator — strong on both reach and engagement
15,ZutiGang,14900000,15913320995.0,People & Blogs,ZutiGang,1363,,,People,192.0,,45.0,346653000.0,86700.0,1400000.0,1000000.0,16600000.0,400000.0,2021.0,Mar,5.0,11675217.0,743350.0,2.0,1068.01,2.178,2.6846,mid,1068.01,681.5,2.178,2.6846,82.8,346653000.0,2.14,68.7,Lifestyle / People,79.8,62.0,77.9,False,False,False,False,False,0,engagement,Engagement Specialist — prioritize for interaction goals
