post_id,creator_id,category,follower_tier,followers_at_post,post_date,post_hour,post_weekday,is_sponsored,likes,comments,engagement,engagement_rate,hashtag_count,caption_length,has_brand_mention
P0000001,CR00001,Business,micro,33239,2024-10-19,15,Saturday,True,2915,122,3037,9.137,29,69,True
P0000002,CR00001,Business,micro,33239,2024-01-22,9,Monday,False,2167,134,2301,6.923,27,212,False
P0000003,CR00001,Business,micro,33239,2024-11-11,10,Monday,True,1120,70,1190,3.58,17,227,True
P0000004,CR00001,Business,micro,33239,2024-06-16,10,Sunday,False,1132,75,1207,3.631,23,45,False
P0000005,CR00001,Business,micro,33239,2023-07-27,13,Thursday,True,871,32,903,2.717,18,62,True
P0000006,CR00001,Business,micro,33239,2023-06-18,23,Sunday,False,967,50,1017,3.06,15,41,False
P0000007,CR00001,Business,micro,33239,2023-08-26,15,Saturday,False,2115,146,2261,6.802,17,291,False
P0000008,CR00001,Business,micro,33239,2023-10-10,1,Tuesday,False,1927,142,2069,6.225,2,96,False
P0000009,CR00001,Business,micro,33239,2024-11-21,8,Thursday,True,1864,93,1957,5.888,28,88,True
P0000010,CR00001,Business,micro,33239,2023-07-03,16,Monday,False,918,37,955,2.873,24,52,False
P0000011,CR00001,Business,micro,33239,2024-06-03,15,Monday,False,886,50,936,2.816,17,49,False
P0000012,CR00001,Business,micro,33239,2024-08-07,16,Wednesday,True,1320,98,1418,4.266,18,119,True
P0000013,CR00001,Business,micro,33239,2023-12-14,22,Thursday,False,1305,82,1387,4.173,1,41,False
P0000014,CR00001,Business,micro,33239,2023-04-14,23,Friday,True,1326,56,1382,4.158,6,203,True
P0000015,CR00001,Business,micro,33239,2023-06-25,19,Sunday,False,762,40,802,2.413,0,23,False
P0000016,CR00001,Business,micro,33239,2023-03-10,13,Friday,False,909,58,967,2.909,20,117,False
P0000017,CR00001,Business,micro,33239,2024-11-26,12,Tuesday,True,2214,149,2363,7.109,9,100,True
P0000018,CR00001,Business,micro,33239,2024-08-04,5,Sunday,True,1441,64,1505,4.528,19,38,True
P0000019,CR00001,Business,micro,33239,2023-09-30,20,Saturday,True,2083,47,2130,6.408,5,297,True
P0000020,CR00001,Business,micro,33239,2023-04-05,17,Wednesday,False,1481,93,1574,4.735,21,50,False
P0000021,CR00001,Business,micro,33239,2023-07-08,19,Saturday,False,1552,67,1619,4.871,16,37,False
P0000022,CR00001,Business,micro,33239,2023-11-28,8,Tuesday,True,957,53,1010,3.039,27,81,True
P0000023,CR00001,Business,micro,33239,2025-02-14,7,Friday,True,1344,78,1422,4.278,8,70,True
P0000024,CR00001,Business,micro,33239,2024-01-13,3,Saturday,False,4113,181,4294,12.919,27,255,False
P0000025,CR00002,Photography,mega,5285981,2025-01-04,15,Saturday,False,52857,1656,54513,1.031,21,124,False
P0000026,CR00002,Photography,mega,5285981,2024-05-27,22,Monday,False,35743,938,36681,0.694,12,138,True
P0000027,CR00002,Photography,mega,5285981,2024-09-15,10,Sunday,False,30858,1447,32305,0.611,15,35,False
P0000028,CR00002,Photography,mega,5285981,2023-09-06,6,Wednesday,False,61742,3691,65433,1.238,25,70,True
P0000029,CR00002,Photography,mega,5285981,2023-07-27,7,Thursday,False,18689,895,19584,0.37,0,105,False
P0000030,CR00002,Photography,mega,5285981,2024-10-01,8,Tuesday,False,40825,1091,41916,0.793,8,70,False
P0000031,CR00002,Photography,mega,5285981,2024-07-06,10,Saturday,False,43218,2164,45382,0.859,5,48,False
P0000032,CR00002,Photography,mega,5285981,2023-08-14,14,Monday,False,117993,3032,121025,2.29,11,51,False
P0000033,CR00002,Photography,mega,5285981,2025-01-13,6,Monday,False,31566,2446,34012,0.643,16,99,False
P0000034,CR00002,Photography,mega,5285981,2023-10-29,12,Sunday,False,50174,2194,52368,0.991,14,375,False
P0000035,CR00002,Photography,mega,5285981,2024-03-10,11,Sunday,False,58249,1495,59744,1.13,1,83,True
P0000036,CR00002,Photography,mega,5285981,2024-04-07,16,Sunday,False,39431,1831,41262,0.781,8,224,True
P0000037,CR00002,Photography,mega,5285981,2023-03-11,4,Saturday,False,24613,1184,25797,0.488,4,31,False
P0000038,CR00002,Photography,mega,5285981,2024-01-01,9,Monday,True,67799,4719,72518,1.372,12,257,True
P0000039,CR00002,Photography,mega,5285981,2023-11-14,15,Tuesday,False,54417,2326,56743,1.073,25,417,False
P0000040,CR00002,Photography,mega,5285981,2024-03-05,17,Tuesday,False,55862,2298,58160,1.1,16,40,False
P0000041,CR00002,Photography,mega,5285981,2023-09-19,11,Tuesday,False,26865,560,27425,0.519,27,40,False
P0000042,CR00002,Photography,mega,5285981,2024-02-28,17,Wednesday,False,44732,1237,45969,0.87,5,291,False
P0000043,CR00002,Photography,mega,5285981,2025-02-21,13,Friday,False,28346,1244,29590,0.56,23,49,False
P0000044,CR00002,Photography,mega,5285981,2023-06-07,8,Wednesday,True,54031,2680,56711,1.073,10,141,True
P0000045,CR00002,Photography,mega,5285981,2023-08-29,11,Tuesday,False,49330,3124,52454,0.992,29,103,True
P0000046,CR00002,Photography,mega,5285981,2024-03-30,4,Saturday,False,26594,1481,28075,0.531,12,38,False
P0000047,CR00002,Photography,mega,5285981,2023-12-05,20,Tuesday,False,60086,2195,62281,1.178,12,73,False
P0000048,CR00002,Photography,mega,5285981,2024-08-20,16,Tuesday,False,63760,1632,65392,1.237,23,38,False
P0000049,CR00002,Photography,mega,5285981,2023-04-14,9,Friday,False,66948,5172,72120,1.364,20,1069,False
P0000050,CR00002,Photography,mega,5285981,2024-07-12,14,Friday,False,40216,2904,43120,0.816,16,26,False
P0000051,CR00002,Photography,mega,5285981,2023-07-16,11,Sunday,True,51389,2431,53820,1.018,28,158,True
P0000052,CR00002,Photography,mega,5285981,2024-01-23,10,Tuesday,False,45677,2522,48199,0.912,22,35,False
P0000053,CR00002,Photography,mega,5285981,2024-02-11,19,Sunday,True,17802,629,18431,0.349,19,39,True
P0000054,CR00002,Photography,mega,5285981,2023-04-11,9,Tuesday,True,64893,2103,66996,1.267,6,49,True
P0000055,CR00002,Photography,mega,5285981,2024-02-20,18,Tuesday,True,29739,1498,31237,0.591,16,56,True
P0000056,CR00002,Photography,mega,5285981,2023-09-19,9,Tuesday,False,16847,897,17744,0.336,16,52,False
P0000057,CR00002,Photography,mega,5285981,2024-03-11,15,Monday,False,25130,912,26042,0.493,11,89,False
P0000058,CR00002,Photography,mega,5285981,2023-07-11,13,Tuesday,False,38271,2984,41255,0.78,25,125,False
P0000059,CR00002,Photography,mega,5285981,2024-05-31,14,Friday,True,31041,2079,33120,0.627,25,337,True
P0000060,CR00002,Photography,mega,5285981,2024-08-10,19,Saturday,False,83524,3801,87325,1.652,24,58,False
P0000061,CR00002,Photography,mega,5285981,2024-04-04,10,Thursday,False,69417,5266,74683,1.413,3,272,False
P0000062,CR00002,Photography,mega,5285981,2024-02-03,22,Saturday,False,58737,1181,59918,1.134,8,103,False
P0000063,CR00002,Photography,mega,5285981,2024-05-16,8,Thursday,False,47727,3310,51037,0.966,26,22,False
P0000064,CR00002,Photography,mega,5285981,2024-02-03,16,Saturday,False,32279,2400,34679,0.656,12,76,True
P0000065,CR00002,Photography,mega,5285981,2023-05-23,17,Tuesday,True,37458,751,38209,0.723,4,96,True
P0000066,CR00002,Photography,mega,5285981,2024-06-14,11,Friday,True,51736,3934,55670,1.053,6,123,True
P0000067,CR00002,Photography,mega,5285981,2024-08-12,10,Monday,False,49762,1906,51668,0.977,6,131,False
P0000068,CR00002,Photography,mega,5285981,2024-07-30,17,Tuesday,False,64459,4990,69449,1.314,24,50,False
P0000069,CR00002,Photography,mega,5285981,2024-06-03,23,Monday,False,74055,4495,78550,1.486,28,159,False
P0000070,CR00002,Photography,mega,5285981,2024-11-19,17,Tuesday,False,61594,2744,64338,1.217,4,228,False
P0000071,CR00002,Photography,mega,5285981,2025-01-29,23,Wednesday,True,28233,1800,30033,0.568,17,128,True
P0000072,CR00002,Photography,mega,5285981,2024-12-11,6,Wednesday,False,33214,1474,34688,0.656,22,118,False
P0000073,CR00002,Photography,mega,5285981,2024-10-23,14,Wednesday,False,74326,3633,77959,1.475,12,107,False
P0000074,CR00002,Photography,mega,5285981,2024-11-19,0,Tuesday,False,94946,7472,102418,1.938,13,156,False
P0000075,CR00002,Photography,mega,5285981,2024-05-18,8,Saturday,True,27176,1704,28880,0.546,15,150,True
P0000076,CR00002,Photography,mega,5285981,2024-11-18,14,Monday,False,59888,3262,63150,1.195,21,179,False
P0000077,CR00002,Photography,mega,5285981,2024-12-05,9,Thursday,True,44101,1369,45470,0.86,14,101,True
P0000078,CR00003,Beauty,mid,250351,2023-09-09,19,Saturday,False,8520,221,8741,3.491,28,189,True
P0000079,CR00003,Beauty,mid,250351,2023-08-11,0,Friday,False,6364,276,6640,2.652,15,98,False
P0000080,CR00003,Beauty,mid,250351,2023-04-04,20,Tuesday,False,5033,243,5276,2.107,21,58,False
P0000081,CR00003,Beauty,mid,250351,2024-06-22,15,Saturday,False,7004,148,7152,2.857,26,20,False
P0000082,CR00003,Beauty,mid,250351,2023-08-23,6,Wednesday,False,4702,227,4929,1.969,15,69,False
P0000083,CR00003,Beauty,mid,250351,2023-04-08,20,Saturday,False,2960,117,3077,1.229,17,45,False
P0000084,CR00003,Beauty,mid,250351,2023-03-09,10,Thursday,False,3131,93,3224,1.288,9,53,False
P0000085,CR00003,Beauty,mid,250351,2024-12-26,0,Thursday,False,8725,428,9153,3.656,27,412,False
P0000086,CR00003,Beauty,mid,250351,2025-01-02,21,Thursday,False,3578,85,3663,1.463,6,123,False
P0000087,CR00003,Beauty,mid,250351,2023-09-18,11,Monday,False,2814,160,2974,1.188,19,25,False
P0000088,CR00003,Beauty,mid,250351,2023-08-21,3,Monday,False,3531,172,3703,1.479,13,135,True
P0000089,CR00003,Beauty,mid,250351,2025-02-16,20,Sunday,False,8646,606,9252,3.696,17,87,False
P0000090,CR00003,Beauty,mid,250351,2023-06-06,20,Tuesday,False,4113,307,4420,1.766,13,141,True
P0000091,CR00003,Beauty,mid,250351,2023-12-02,12,Saturday,False,6788,432,7220,2.884,1,114,False
P0000092,CR00003,Beauty,mid,250351,2024-01-17,17,Wednesday,True,3080,109,3189,1.274,9,74,True
P0000093,CR00003,Beauty,mid,250351,2023-07-12,14,Wednesday,False,3291,245,3536,1.412,21,130,False
P0000094,CR00003,Beauty,mid,250351,2023-07-16,20,Sunday,False,7756,601,8357,3.338,0,102,False
P0000095,CR00003,Beauty,mid,250351,2024-05-04,9,Saturday,False,7546,363,7909,3.159,2,27,True
P0000096,CR00003,Beauty,mid,250351,2024-05-30,13,Thursday,False,6791,325,7116,2.842,1,153,False
P0000097,CR00003,Beauty,mid,250351,2024-08-31,14,Saturday,False,5960,379,6339,2.532,7,177,False
P0000098,CR00003,Beauty,mid,250351,2023-10-16,20,Monday,False,5481,405,5886,2.351,4,140,False
P0000099,CR00003,Beauty,mid,250351,2024-06-12,5,Wednesday,False,5056,293,5349,2.137,0,37,False
P0000100,CR00003,Beauty,mid,250351,2024-12-11,11,Wednesday,True,6087,273,6360,2.54,21,166,True
P0000101,CR00003,Beauty,mid,250351,2024-05-23,18,Thursday,False,3564,175,3739,1.494,0,31,False
P0000102,CR00003,Beauty,mid,250351,2024-04-08,22,Monday,False,5351,301,5652,2.258,24,22,False
P0000103,CR00003,Beauty,mid,250351,2023-08-22,9,Tuesday,False,10822,627,11449,4.573,18,130,False
P0000104,CR00003,Beauty,mid,250351,2023-12-15,6,Friday,True,6450,418,6868,2.743,10,34,True
P0000105,CR00003,Beauty,mid,250351,2023-09-24,7,Sunday,True,8195,171,8366,3.342,4,270,True
P0000106,CR00003,Beauty,mid,250351,2023-11-04,12,Saturday,False,6881,327,7208,2.879,24,31,False
P0000107,CR00003,Beauty,mid,250351,2024-08-31,19,Saturday,False,4392,211,4603,1.839,12,94,False
P0000108,CR00003,Beauty,mid,250351,2023-09-19,8,Tuesday,False,9062,394,9456,3.777,20,94,False
P0000109,CR00003,Beauty,mid,250351,2024-01-26,7,Friday,False,3223,109,3332,1.331,2,63,False
P0000110,CR00003,Beauty,mid,250351,2025-01-09,11,Thursday,False,6987,192,7179,2.868,1,76,False
P0000111,CR00003,Beauty,mid,250351,2023-03-14,19,Tuesday,False,5333,184,5517,2.204,14,36,False
P0000112,CR00003,Beauty,mid,250351,2024-03-03,9,Sunday,False,7836,377,8213,3.281,21,227,False
P0000113,CR00003,Beauty,mid,250351,2024-10-07,2,Monday,False,5691,160,5851,2.337,0,95,True
P0000114,CR00003,Beauty,mid,250351,2023-09-14,9,Thursday,False,5071,333,5404,2.159,18,119,False
P0000115,CR00003,Beauty,mid,250351,2024-07-14,17,Sunday,False,7159,453,7612,3.041,28,84,False
P0000116,CR00003,Beauty,mid,250351,2023-11-17,16,Friday,False,5283,392,5675,2.267,28,40,False
P0000117,CR00003,Beauty,mid,250351,2023-04-17,19,Monday,False,7143,556,7699,3.075,20,188,False
P0000118,CR00003,Beauty,mid,250351,2024-05-13,14,Monday,False,4472,226,4698,1.877,14,47,False
P0000119,CR00003,Beauty,mid,250351,2024-02-05,13,Monday,False,4051,283,4334,1.731,28,223,False
P0000120,CR00003,Beauty,mid,250351,2024-09-28,22,Saturday,False,3622,235,3857,1.541,1,92,False
P0000121,CR00003,Beauty,mid,250351,2024-04-24,20,Wednesday,False,5721,118,5839,2.332,13,80,False
P0000122,CR00003,Beauty,mid,250351,2024-04-10,6,Wednesday,False,8764,670,9434,3.768,11,239,False
P0000123,CR00004,Beauty,micro,29187,2023-12-16,6,Saturday,False,265,12,277,0.949,26,43,True
P0000124,CR00004,Beauty,micro,29187,2023-08-10,11,Thursday,False,951,52,1003,3.436,16,127,False
P0000125,CR00004,Beauty,micro,29187,2023-03-15,7,Wednesday,False,572,44,616,2.111,10,135,False
P0000126,CR00004,Beauty,micro,29187,2024-01-26,11,Friday,False,1067,71,1138,3.899,21,60,False
P0000127,CR00004,Beauty,micro,29187,2024-04-19,17,Friday,False,534,13,547,1.874,17,29,True
